label,spaceMission,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Soyuz TMA-07M,http://www.wikidata.org/entity/Q968429,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Thomas Marshburn,Statesville,"45.9648,63.3051"
Soyuz TMA-08M,http://www.wikidata.org/entity/Q1773494,Gagarin's Start,Kazakhstan,Roscosmos State Corporation,Alexander Misurkin,Yershichi,"45.920277777,63.342222222"
Soyuz TMA-08M,http://www.wikidata.org/entity/Q1773494,Gagarin's Start,Kazakhstan,Roscosmos State Corporation,Christopher Cassidy,Salem,"45.920277777,63.342222222"
Soyuz TMA-08M,http://www.wikidata.org/entity/Q1773494,Gagarin's Start,Kazakhstan,Roscosmos State Corporation,Pavel Vinogradov,Magadan,"45.920277777,63.342222222"
Soyuz TMA-09M,http://www.wikidata.org/entity/Q2118077,Gagarin's Start,Kazakhstan,Roscosmos State Corporation,Fyodor Yurchikhin,Batumi,"45.920277777,63.342222222"
Soyuz TMA-09M,http://www.wikidata.org/entity/Q2118077,Gagarin's Start,Kazakhstan,Roscosmos State Corporation,Karen L. Nyberg,Parkers Prairie,"45.920277777,63.342222222"
Soyuz TMA-09M,http://www.wikidata.org/entity/Q2118077,Gagarin's Start,Kazakhstan,Roscosmos State Corporation,Luca Parmitano,Paternò,"45.920277777,63.342222222"
Soyuz TMA-1,http://www.wikidata.org/entity/Q1423640,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Donald Pettit,Silverton,"45.9648,63.3051"
Soyuz TMA-1,http://www.wikidata.org/entity/Q1423640,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Frank De Winne,Ghent,"45.9648,63.3051"
Soyuz TMA-1,http://www.wikidata.org/entity/Q1423640,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Ken Bowersox,Portsmouth,"45.9648,63.3051"
Soyuz TMA-1,http://www.wikidata.org/entity/Q1423640,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Nikolai Budarin,Q4221940,"45.9648,63.3051"
Soyuz TMA-1,http://www.wikidata.org/entity/Q1423640,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sergei Zalyotin,"Shchyokino (town), Tula Oblast","45.9648,63.3051"
Soyuz TMA-1,http://www.wikidata.org/entity/Q1423640,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yury Lonchakov,Balkhash,"45.9648,63.3051"
Soyuz TMA-10,http://www.wikidata.org/entity/Q507375,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Charles Simonyi,Budapest,"45.9648,63.3051"
Soyuz TMA-10,http://www.wikidata.org/entity/Q507375,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Fyodor Yurchikhin,Batumi,"45.9648,63.3051"
Soyuz TMA-10,http://www.wikidata.org/entity/Q507375,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Kotov,Simferopol,"45.9648,63.3051"
Soyuz TMA-10,http://www.wikidata.org/entity/Q507375,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sheikh Muszaphar Shukor,Kuala Lumpur,"45.9648,63.3051"
Soyuz TMA-10M,http://www.wikidata.org/entity/Q1887840,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Michael S. Hopkins,Lebanon,"45.9648,63.3051"
Soyuz TMA-10M,http://www.wikidata.org/entity/Q1887840,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Kotov,Simferopol,"45.9648,63.3051"
Soyuz TMA-10M,http://www.wikidata.org/entity/Q1887840,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sergey Ryazansky,Moscow,"45.9648,63.3051"
Soyuz TMA-11,http://www.wikidata.org/entity/Q562173,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Peggy Whitson,Mount Ayr,"45.9648,63.3051"
Soyuz TMA-11,http://www.wikidata.org/entity/Q562173,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sheikh Muszaphar Shukor,Kuala Lumpur,"45.9648,63.3051"
Soyuz TMA-11,http://www.wikidata.org/entity/Q562173,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yi So-Yeon,Gwangju,"45.9648,63.3051"
Soyuz TMA-11,http://www.wikidata.org/entity/Q562173,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yuri Malenchenko,Svitlovodsk,"45.9648,63.3051"
Soyuz TMA-11M,http://www.wikidata.org/entity/Q1254245,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Koichi Wakata,Ōmiya,"45.9648,63.3051"
Soyuz TMA-11M,http://www.wikidata.org/entity/Q1254245,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Mikhail Tyurin,Kolomna,"45.9648,63.3051"
Soyuz TMA-11M,http://www.wikidata.org/entity/Q1254245,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Richard Mastracchio,Waterbury,"45.9648,63.3051"
Soyuz TMA-12,http://www.wikidata.org/entity/Q493983,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Kononenko,Türkmenabat,"45.9648,63.3051"
Soyuz TMA-12,http://www.wikidata.org/entity/Q493983,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Richard Garriott,Cambridge,"45.9648,63.3051"
Soyuz TMA-12,http://www.wikidata.org/entity/Q493983,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Sergey Alexandrovich Volkov,Chuhuiv,"45.9648,63.3051"
Soyuz TMA-12,http://www.wikidata.org/entity/Q493983,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yi So-Yeon,Gwangju,"45.9648,63.3051"
Soyuz TMA-12M,http://www.wikidata.org/entity/Q339244,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Aleksandr Aleksandrovich Skvortsov,Shchyolkovo,"45.9648,63.3051"
Soyuz TMA-12M,http://www.wikidata.org/entity/Q339244,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Artemyev,Riga,"45.9648,63.3051"
Soyuz TMA-12M,http://www.wikidata.org/entity/Q339244,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Steven Swanson,Syracuse,"45.9648,63.3051"
Soyuz TMA-13,http://www.wikidata.org/entity/Q757035,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Charles Simonyi,Budapest,"45.9648,63.3051"
Soyuz TMA-13,http://www.wikidata.org/entity/Q757035,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Michael Fincke,Pittsburgh,"45.9648,63.3051"
Soyuz TMA-13,http://www.wikidata.org/entity/Q757035,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Richard Garriott,Cambridge,"45.9648,63.3051"
Soyuz TMA-13,http://www.wikidata.org/entity/Q757035,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Yury Lonchakov,Balkhash,"45.9648,63.3051"
Soyuz TMA-13M,http://www.wikidata.org/entity/Q1628242,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Alexander Gerst,Künzelsau,"45.9648,63.3051"
Soyuz TMA-13M,http://www.wikidata.org/entity/Q1628242,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Gregory Reid Wiseman,Baltimore,"45.9648,63.3051"
Soyuz TMA-13M,http://www.wikidata.org/entity/Q1628242,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Maksim Surayev,Chelyabinsk,"45.9648,63.3051"
Soyuz TMA-14,http://www.wikidata.org/entity/Q840706,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Charles Simonyi,Budapest,"45.9648,63.3051"
Soyuz TMA-14,http://www.wikidata.org/entity/Q840706,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Gennady Padalka,Krasnodar,"45.9648,63.3051"
Soyuz TMA-14,http://www.wikidata.org/entity/Q840706,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Guy Laliberté,Atlantic Ocean,"45.9648,63.3051"
Soyuz TMA-14,http://www.wikidata.org/entity/Q840706,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Michael Barratt,Vancouver,"45.9648,63.3051"
Soyuz TMA-14M,http://www.wikidata.org/entity/Q1633048,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Aleksandr Samokutyayev,Penza,"45.9648,63.3051"
Soyuz TMA-14M,http://www.wikidata.org/entity/Q1633048,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Barry E. Wilmore,Murfreesboro,"45.9648,63.3051"
